Employee ID,Gender,Ethnicity,Age Group,Job Grade,Employment Type,Anual Salary,Year
1,Male,Asian,40-49,11,Casual,"$71,620.15",2024
2,Female,Hispanic,20-29,1,Full-Time,"$93,983.55",2022
3,Female,Asian,40-49,9,Full-Time,"$83,933.66",2022
4,Female,Hispanic,20-29,8,Part-Time,"$100,820.77",2023
5,Female,Black,30-39,3,Full-Time,"$105,301.61",2023
6,Female,Asian,40-49,3,Casual,"$32,939.92",2024
7,Female,Asian,50-59,11,Part-Time,"$79,480.79",2022
8,Female,Hispanic,30-39,10,Full-Time,"$104,079.39",2022
9,Female,White,20-29,7,Casual,"$70,474.28",2022
10,Male,African,20-29,11,Casual,"$39,997.73",2024
11,Female,Asian,30-39,10,Casual,"$106,238.25",2022
12,Male,Hispanic,50-59,3,Full-Time,"$29,330.69",2024
13,Male,Hispanic,20-29,8,Casual,"$82,042.12",2023
14,Female,Asian,20-29,7,Casual,"$119,610.32",2023
15,Male,Black,30-39,7,Part-Time,"$41,159.99",2023
16,Female,Hispanic,30-39,1,Casual,"$65,526.97",2023
17,Female,White,40-49,9,Casual,"$72,483.44",2023
18,Male,Hispanic,50-59,11,Casual,"$18,186.38",2023
19,Female,Asian,30-39,11,Full-Time,"$20,239.87",2024
20,Male,Black,20-29,3,Part-Time,"$16,031.66",2024
21,Male,Hispanic,40-49,9,Casual,"$37,629.57",2023
22,Male,White,50-59,5,Full-Time,"$11,837.54",2024
23,Female,Black,40-49,12,Casual,"$13,640.17",2024
24,Female,White,50-59,1,Casual,"$37,837.45",2022
25,Male,Hispanic,20-29,9,Part-Time,"$68,203.24",2023
26,Male,Black,30-39,7,Full-Time,"$66,043.76",2022
27,Male,White,50-59,9,Full-Time,"$101,831.43",2022
28,Male,African,20-29,12,Part-Time,"$13,246.69",2024
29,Female,African,20-29,9,Part-Time,"$32,519.26",2024
30,Male,Hispanic,50-59,5,Part-Time,"$38,744.74",2024
31,Male,African,30-39,11,Full-Time,"$91,574.72",2024
32,Female,Asian,20-29,2,Casual,"$40,749.81",2022
33,Male,Black,30-39,11,Full-Time,"$105,045.91",2024
34,Female,Asian,20-29,9,Casual,"$18,067.22",2023
35,Male,Asian,50-59,8,Casual,"$106,907.47",2023
36,Male,Hispanic,20-29,12,Casual,"$115,558.04",2022
37,Male,African,50-59,4,Part-Time,"$32,224.74",2024
38,Female,White,30-39,6,Full-Time,"$38,138.92",2023
39,Male,Black,30-39,3,Full-Time,"$23,048.75",2022
40,Female,White,40-49,5,Casual,"$119,214.11",2023
41,Male,Asian,40-49,6,Full-Time,"$27,360.29",2023
42,Female,Hispanic,20-29,2,Full-Time,"$7,426.19",2022
43,Female,White,50-59,8,Casual,"$14,568.42",2024
44,Female,Hispanic,40-49,12,Full-Time,"$106,322.01",2023
45,Female,White,20-29,6,Part-Time,"$115,631.86",2024
46,Female,Black,50-59,10,Full-Time,"$38,722.71",2023
47,Male,Black,40-49,10,Casual,"$83,464.12",2023
48,Female,Asian,30-39,12,Casual,"$63,209.63",2024
49,Female,White,20-29,10,Part-Time,"$74,100.07",2023
50,Male,White,20-29,8,Part-Time,"$51,121.84",2023
51,Female,Hispanic,20-29,5,Part-Time,"$114,734.28",2024
52,Male,African,20-29,7,Full-Time,"$102,849.18",2024
53,Female,Black,50-59,10,Part-Time,"$79,338.96",2023
54,Male,Asian,50-59,1,Casual,"$93,870.34",2024
55,Female,African,20-29,11,Full-Time,"$87,726.76",2022
56,Female,Black,30-39,8,Part-Time,"$31,739.02",2023
57,Male,African,50-59,1,Part-Time,"$3,183.43",2022
58,Female,Hispanic,20-29,4,Full-Time,"$115,942.46",2023
59,Male,Hispanic,30-39,8,Full-Time,"$8,390.35",2023
60,Male,White,20-29,9,Casual,"$116,814.16",2024
61,Male,African,50-59,12,Part-Time,"$79,947.73",2024
62,Male,Asian,50-59,1,Full-Time,"$32,746.64",2023
63,Male,Asian,20-29,8,Part-Time,"$100,382.67",2023
64,Female,Hispanic,40-49,4,Full-Time,"$40,835.09",2022
65,Male,Asian,30-39,4,Full-Time,"$49,705.57",2023
66,Male,White,50-59,11,Part-Time,"$48,371.17",2024
67,Female,White,20-29,11,Full-Time,"$118,463.44",2024
68,Male,Asian,20-29,3,Part-Time,"$5,516.22",2024
69,Male,African,40-49,5,Full-Time,"$11,155.10",2023
70,Female,African,30-39,3,Full-Time,"$8,269.17",2023
71,Male,African,50-59,5,Part-Time,"$93,763.54",2022
72,Female,Asian,30-39,12,Full-Time,"$95,244.61",2022
73,Male,White,30-39,6,Part-Time,"$14,881.27",2024
74,Female,African,40-49,10,Casual,"$31,186.13",2024
75,Male,Black,30-39,10,Part-Time,"$20,646.58",2022
76,Male,Asian,30-39,8,Part-Time,"$52,977.18",2024
77,Male,White,50-59,3,Casual,"$63,454.10",2022
78,Female,Hispanic,20-29,12,Part-Time,"$91,403.27",2024
79,Female,Black,20-29,2,Part-Time,"$103,645.00",2023
80,Female,African,50-59,4,Casual,"$27,741.11",2023
81,Female,African,40-49,2,Full-Time,"$48,064.36",2024
82,Female,White,50-59,8,Part-Time,"$47,061.91",2024
83,Female,White,30-39,6,Casual,"$24,298.49",2024
84,Male,Hispanic,30-39,8,Part-Time,"$9,106.25",2023
85,Female,Black,30-39,11,Full-Time,"$61,538.99",2024
86,Female,White,30-39,8,Full-Time,"$55,919.02",2022
87,Male,White,50-59,12,Part-Time,"$38,538.22",2022
88,Female,African,20-29,9,Full-Time,"$79,607.02",2022
89,Female,White,50-59,2,Full-Time,"$89,600.82",2022
90,Male,Black,20-29,2,Casual,"$64,321.12",2022
91,Female,Black,40-49,2,Casual,"$112,662.74",2022
92,Female,White,30-39,8,Full-Time,"$20,039.62",2024
93,Female,Hispanic,30-39,7,Casual,"$113,900.01",2023
94,Male,Black,40-49,7,Part-Time,"$26,004.98",2023
95,Female,Hispanic,50-59,6,Part-Time,"$17,299.48",2023
96,Male,Hispanic,20-29,3,Casual,"$99,246.31",2022
97,Female,Asian,20-29,7,Part-Time,"$10,785.62",2023
98,Male,Black,20-29,4,Full-Time,"$11,899.51",2022
99,Female,White,30-39,7,Part-Time,"$61,282.79",2023
100,Female,Black,30-39,2,Part-Time,"$35,004.44",2023
101,Female,Black,40-49,7,Casual,"$39,712.32",2023
102,Female,Hispanic,20-29,1,Full-Time,"$5,310.99",2022
103,Male,White,30-39,6,Part-Time,"$91,494.73",2022
104,Male,Black,40-49,1,Part-Time,"$90,037.77",2022
105,Male,Asian,20-29,12,Part-Time,"$13,656.95",2022
106,Female,Asian,30-39,10,Full-Time,"$104,901.77",2023
107,Female,Hispanic,30-39,10,Full-Time,"$52,671.99",2024
108,Female,African,40-49,3,Part-Time,"$103,591.93",2023
109,Male,African,50-59,2,Casual,"$53,784.78",2023
110,Male,White,40-49,1,Casual,"$77,066.96",2022
111,Male,Asian,30-39,11,Casual,"$105,734.73",2023
112,Male,Asian,20-29,9,Casual,"$73,027.98",2023
113,Female,White,20-29,6,Casual,"$96,318.99",2022
114,Female,White,50-59,6,Part-Time,"$26,039.96",2023
115,Female,African,30-39,12,Part-Time,"$95,281.67",2022
116,Female,African,50-59,6,Part-Time,"$118,060.52",2022
117,Female,African,50-59,6,Full-Time,"$78,575.29",2024
118,Female,Hispanic,50-59,4,Part-Time,"$28,007.71",2023
119,Male,Asian,20-29,10,Part-Time,"$54,908.56",2023
120,Female,Asian,50-59,12,Full-Time,"$97,991.34",2022
121,Female,White,30-39,8,Full-Time,"$109,052.16",2023
122,Male,Asian,50-59,8,Casual,"$70,695.37",2024
123,Female,Hispanic,50-59,2,Part-Time,"$31,330.46",2023
124,Female,Black,40-49,12,Full-Time,"$83,649.16",2024
125,Female,Black,50-59,10,Casual,"$88,676.42",2023
126,Male,White,30-39,4,Part-Time,"$111,638.52",2022
127,Female,Hispanic,30-39,8,Part-Time,"$55,119.72",2023
128,Female,Black,30-39,2,Full-Time,"$43,385.47",2024
129,Male,African,20-29,7,Casual,"$34,110.40",2024
130,Female,African,20-29,1,Part-Time,"$37,964.34",2022
131,Female,Asian,50-59,8,Part-Time,"$64,511.30",2023
132,Male,Hispanic,50-59,10,Part-Time,"$67,741.77",2024
133,Female,Asian,40-49,12,Full-Time,"$3,077.26",2022
134,Female,White,50-59,9,Part-Time,"$96,300.33",2024
135,Male,White,40-49,8,Part-Time,"$99,528.64",2022
136,Male,African,30-39,3,Part-Time,"$45,513.15",2024
137,Female,Asian,40-49,8,Part-Time,"$44,933.08",2022
138,Male,Black,50-59,11,Full-Time,"$93,242.88",2022
139,Male,African,30-39,3,Part-Time,"$86,918.11",2023
140,Female,Black,50-59,2,Full-Time,"$56,070.70",2023
141,Male,White,30-39,2,Casual,"$3,554.83",2023
142,Male,Hispanic,50-59,1,Part-Time,"$92,325.48",2023
143,Male,White,30-39,7,Casual,"$41,605.89",2023
144,Female,Hispanic,50-59,5,Full-Time,"$3,777.96",2022
145,Female,Black,20-29,8,Full-Time,"$91,820.04",2024
146,Female,African,30-39,8,Casual,"$91,139.42",2023
147,Female,White,40-49,6,Casual,"$86,307.82",2023
148,Female,Asian,50-59,3,Part-Time,"$60,087.44",2023
149,Female,Black,40-49,3,Casual,"$23,952.90",2022
150,Male,Hispanic,50-59,11,Part-Time,"$78,680.95",2023
151,Female,White,40-49,2,Part-Time,"$73,999.03",2024
152,Male,African,20-29,3,Casual,"$27,863.74",2024
153,Female,Hispanic,20-29,2,Casual,"$98,333.18",2024
154,Male,Asian,20-29,11,Casual,"$80,433.02",2023
155,Male,White,50-59,4,Casual,"$91,694.91",2024
156,Female,Asian,40-49,10,Full-Time,"$88,633.08",2022
157,Female,Asian,20-29,10,Part-Time,"$65,379.17",2024
158,Male,Black,20-29,6,Part-Time,"$86,775.34",2023
159,Female,White,30-39,7,Full-Time,"$72,518.27",2024
160,Male,White,30-39,11,Part-Time,"$29,324.65",2023
161,Male,Hispanic,30-39,3,Casual,"$62,232.32",2023
162,Female,White,30-39,2,Full-Time,"$117,175.80",2024
163,Female,White,50-59,3,Part-Time,"$103,914.63",2023
164,Female,African,50-59,10,Casual,"$25,752.84",2023
165,Male,White,50-59,11,Casual,"$95,706.17",2024
166,Female,Asian,20-29,1,Full-Time,"$56,012.14",2023
167,Female,Asian,50-59,12,Full-Time,"$100,525.60",2022
168,Male,White,30-39,6,Full-Time,"$93,348.32",2022
169,Male,Asian,30-39,1,Part-Time,"$18,781.82",2023
170,Male,White,40-49,11,Casual,"$57,888.74",2022
171,Female,White,50-59,2,Full-Time,"$117,937.51",2023
172,Male,African,30-39,8,Casual,"$6,918.87",2024
173,Male,Black,20-29,11,Casual,"$91,378.32",2022
174,Female,Black,30-39,3,Casual,"$64,319.27",2024
175,Female,Hispanic,40-49,5,Part-Time,"$56,822.99",2022
176,Male,Black,30-39,4,Casual,"$45,386.13",2022
177,Male,African,50-59,7,Casual,"$35,771.91",2022
178,Male,Hispanic,20-29,9,Casual,"$34,885.78",2023
179,Female,Black,50-59,8,Part-Time,"$47,000.28",2024
180,Female,Hispanic,30-39,2,Full-Time,"$103,018.97",2023
181,Male,African,40-49,3,Casual,"$27,814.01",2023
182,Female,African,20-29,9,Part-Time,"$45,480.91",2024
183,Male,Asian,40-49,3,Part-Time,"$60,749.18",2024
184,Female,Asian,20-29,4,Casual,"$60,800.32",2024
185,Male,White,20-29,12,Full-Time,"$108,206.00",2024
186,Male,White,30-39,6,Casual,"$68,642.43",2024
187,Male,African,20-29,12,Casual,"$68,667.61",2024
188,Female,Asian,40-49,9,Part-Time,"$32,993.59",2023
189,Female,White,40-49,12,Casual,"$15,298.93",2024
190,Female,Asian,20-29,4,Part-Time,"$13,236.74",2022
191,Male,African,50-59,11,Part-Time,"$64,955.65",2022
192,Female,Black,50-59,12,Part-Time,"$36,070.65",2022
193,Female,African,20-29,4,Full-Time,"$116,103.75",2024
194,Female,Black,30-39,12,Full-Time,"$78,204.49",2022
195,Female,African,30-39,4,Part-Time,"$115,666.86",2023
196,Male,White,40-49,7,Casual,"$97,007.98",2024
197,Female,White,20-29,6,Full-Time,"$90,953.40",2023
198,Male,Asian,40-49,1,Part-Time,"$16,820.27",2023
199,Male,Black,50-59,9,Casual,"$119,785.49",2022
200,Male,White,40-49,9,Casual,"$16,364.92",2022
201,Female,Black,20-29,10,Full-Time,"$94,028.38",2024
202,Male,African,40-49,4,Full-Time,"$91,009.22",2022
203,Male,African,50-59,7,Casual,"$4,619.94",2024
204,Male,African,50-59,3,Full-Time,"$76,605.90",2023
205,Male,Asian,30-39,3,Casual,"$45,872.40",2022
206,Male,White,20-29,6,Full-Time,"$25,618.53",2024
207,Male,Black,20-29,2,Full-Time,"$12,098.52",2024
208,Male,Black,40-49,5,Part-Time,"$31,864.11",2022
209,Female,Black,50-59,11,Casual,"$24,446.30",2024
210,Female,White,40-49,2,Casual,"$26,787.62",2024
211,Male,African,50-59,5,Casual,"$35,760.42",2023
212,Male,African,40-49,7,Casual,"$39,469.89",2023
213,Male,White,20-29,9,Full-Time,"$45,224.02",2023
214,Male,Hispanic,30-39,12,Part-Time,"$113,888.73",2024
215,Male,Black,40-49,8,Full-Time,"$87,737.44",2022
216,Female,African,40-49,8,Casual,"$52,124.55",2024
217,Female,Hispanic,30-39,7,Casual,"$109,043.91",2022
218,Male,White,50-59,7,Part-Time,"$115,241.70",2024
219,Male,Asian,50-59,12,Casual,"$8,581.79",2023
220,Male,Hispanic,30-39,7,Casual,"$62,460.24",2024
221,Male,Hispanic,30-39,8,Casual,"$32,797.97",2023
222,Female,Hispanic,30-39,5,Casual,"$14,935.75",2024
223,Male,Asian,20-29,4,Part-Time,"$107,000.63",2024
224,Female,Asian,40-49,3,Casual,"$30,985.06",2022
225,Male,White,20-29,12,Casual,"$111,862.29",2024
226,Male,Asian,30-39,3,Casual,"$42,053.22",2022
227,Male,Asian,30-39,8,Casual,"$26,167.28",2024
228,Male,Asian,50-59,4,Part-Time,"$110,805.44",2022
229,Male,Black,20-29,12,Full-Time,"$38,632.68",2023
230,Male,African,50-59,2,Casual,"$55,839.11",2024
231,Female,Hispanic,30-39,5,Full-Time,"$24,561.28",2023
232,Male,African,40-49,5,Casual,"$36,395.15",2022
233,Male,Hispanic,30-39,8,Casual,"$46,808.64",2022
234,Male,Asian,20-29,12,Part-Time,"$76,810.33",2024
235,Male,African,20-29,4,Part-Time,"$4,565.74",2023
236,Female,White,40-49,8,Casual,"$30,154.30",2024
237,Male,Black,40-49,3,Casual,"$117,757.59",2023
238,Female,White,50-59,6,Full-Time,"$103,563.23",2024
239,Female,Black,40-49,1,Full-Time,"$102,471.93",2024
240,Female,African,20-29,8,Full-Time,"$65,209.50",2023
241,Female,White,50-59,2,Part-Time,"$87,808.38",2024
242,Male,White,40-49,3,Casual,"$65,501.76",2023
243,Female,Hispanic,50-59,5,Part-Time,"$68,795.57",2022
244,Male,Black,50-59,3,Casual,"$119,626.46",2023
245,Female,White,50-59,8,Casual,"$92,568.26",2022
246,Female,African,50-59,6,Part-Time,"$35,240.91",2022
247,Male,Asian,40-49,4,Casual,"$37,400.26",2022
248,Male,White,40-49,1,Part-Time,"$116,780.04",2024
249,Female,African,50-59,8,Casual,"$54,330.51",2023
250,Female,African,40-49,4,Part-Time,"$80,439.83",2023
251,Male,Hispanic,30-39,5,Casual,"$63,843.95",2023
252,Male,Black,20-29,11,Full-Time,"$81,528.09",2024
253,Male,Black,30-39,10,Casual,"$106,882.82",2024
254,Female,African,20-29,9,Full-Time,"$10,796.81",2023
255,Female,Black,20-29,6,Casual,"$58,499.74",2023
256,Male,African,30-39,8,Part-Time,"$23,271.52",2022
257,Male,Asian,30-39,12,Full-Time,"$85,378.58",2022
258,Female,Black,20-29,3,Full-Time,"$83,751.04",2023
259,Male,Hispanic,50-59,10,Casual,"$19,551.11",2023
260,Male,African,30-39,4,Casual,"$98,867.55",2023
261,Female,African,40-49,5,Casual,"$65,201.37",2022
262,Female,Black,30-39,1,Part-Time,"$102,909.69",2024
263,Male,Asian,30-39,7,Full-Time,"$86,208.48",2024
264,Male,Asian,50-59,8,Full-Time,"$97,441.91",2023
265,Male,Hispanic,50-59,10,Full-Time,"$113,090.25",2024
266,Male,White,40-49,6,Full-Time,"$75,465.87",2024
267,Male,Hispanic,40-49,8,Part-Time,"$64,997.58",2024
268,Male,White,50-59,9,Full-Time,"$18,342.11",2023
269,Female,White,30-39,8,Full-Time,"$76,767.33",2024
270,Male,Hispanic,40-49,11,Part-Time,"$92,901.31",2022
271,Male,Asian,40-49,6,Full-Time,"$83,100.33",2024
272,Female,African,50-59,5,Casual,"$3,084.29",2024
273,Female,Hispanic,50-59,1,Part-Time,"$100,043.31",2023
274,Female,Black,20-29,1,Part-Time,"$3,837.96",2022
275,Male,Black,50-59,11,Part-Time,"$33,218.40",2022
276,Female,African,30-39,2,Part-Time,"$45,045.54",2023
277,Female,African,40-49,2,Casual,"$26,009.00",2023
278,Female,Black,40-49,2,Full-Time,"$70,669.28",2022
279,Male,Asian,50-59,11,Casual,"$44,712.92",2024
280,Male,African,30-39,1,Casual,"$4,043.91",2023
281,Male,White,40-49,2,Full-Time,"$68,181.19",2024
282,Female,African,30-39,12,Casual,"$96,426.07",2024
283,Female,Black,40-49,5,Full-Time,"$89,484.93",2022
284,Female,Black,30-39,9,Part-Time,"$28,901.37",2022
285,Female,African,50-59,11,Casual,"$77,281.22",2023
286,Male,White,20-29,1,Part-Time,"$119,197.60",2023
287,Female,Black,40-49,10,Part-Time,"$20,605.60",2023
288,Female,Hispanic,20-29,6,Part-Time,"$70,110.49",2022
289,Male,Hispanic,50-59,1,Part-Time,"$97,283.01",2024
290,Male,White,50-59,3,Casual,"$8,648.07",2024
291,Female,White,40-49,4,Full-Time,"$85,101.86",2022
292,Female,Asian,20-29,8,Full-Time,"$94,257.01",2023
293,Male,Hispanic,50-59,4,Full-Time,"$106,527.24",2024
294,Female,White,50-59,7,Casual,"$109,646.75",2023
295,Female,Hispanic,30-39,9,Full-Time,"$82,397.14",2022
296,Male,Hispanic,20-29,3,Casual,"$92,819.59",2024
297,Female,Hispanic,50-59,7,Full-Time,"$46,209.81",2024
298,Female,Asian,30-39,1,Full-Time,"$94,433.57",2022
299,Male,Hispanic,20-29,9,Part-Time,"$118,489.29",2024
300,Male,Asian,30-39,3,Casual,"$22,467.21",2024
301,Male,White,30-39,1,Full-Time,"$60,039.33",2024
302,Female,Hispanic,20-29,10,Part-Time,"$50,779.70",2022
303,Male,White,20-29,4,Part-Time,"$31,389.51",2022
304,Male,African,50-59,12,Part-Time,"$119,614.79",2022
305,Female,White,50-59,6,Casual,"$85,330.72",2024
306,Female,African,20-29,10,Part-Time,"$55,608.37",2022
307,Female,Asian,40-49,9,Part-Time,"$11,923.53",2022
308,Female,Hispanic,50-59,2,Full-Time,"$75,040.97",2023
309,Male,White,20-29,8,Casual,"$26,612.36",2022
310,Female,White,20-29,5,Full-Time,"$4,575.50",2022
311,Male,White,40-49,10,Part-Time,"$66,092.35",2023
312,Male,African,50-59,5,Casual,"$23,879.55",2024
313,Female,Hispanic,40-49,4,Part-Time,"$90,142.36",2024
314,Male,Black,30-39,8,Casual,"$24,389.46",2024
315,Female,African,40-49,1,Part-Time,"$50,088.50",2022
316,Female,African,20-29,2,Casual,"$9,824.79",2022
317,Female,African,30-39,8,Full-Time,"$52,384.24",2022
318,Female,White,20-29,6,Casual,"$68,960.49",2023
319,Female,Hispanic,30-39,7,Casual,"$23,398.15",2024
320,Male,Hispanic,30-39,3,Part-Time,"$78,449.28",2024
321,Female,African,20-29,12,Full-Time,"$42,821.15",2023
322,Female,Asian,50-59,4,Full-Time,"$59,456.22",2023
323,Male,Black,40-49,10,Part-Time,"$40,958.19",2023
324,Female,White,20-29,8,Part-Time,"$4,906.69",2023
325,Female,African,20-29,4,Full-Time,"$98,073.72",2024
326,Male,White,30-39,6,Casual,"$53,777.22",2022
327,Female,Hispanic,30-39,7,Part-Time,"$118,586.30",2024
328,Female,African,50-59,7,Part-Time,"$116,150.17",2024
329,Female,Asian,20-29,11,Part-Time,"$59,486.44",2024
330,Female,White,50-59,2,Casual,"$72,456.78",2024
331,Male,White,40-49,1,Full-Time,"$61,205.33",2022
332,Male,Hispanic,50-59,2,Part-Time,"$86,732.35",2022
333,Male,Black,50-59,4,Full-Time,"$98,171.20",2024
334,Female,White,40-49,5,Casual,"$105,892.26",2022
